"age","code","date","cum.deaths","daily.deaths"
"30-39","TX",2020-09-09,315,1
"40-49","TX",2020-09-09,842,5
"50-59","TX",2020-09-09,1790,11
"60-64","TX",2020-09-09,1459,8
"65-69","TX",2020-09-09,1783,10
"70-74","TX",2020-09-09,2013,11
"75-79","TX",2020-09-09,1911,10
"80+","TX",2020-09-09,5246,28
"0-0","TX",2020-09-10,3,0
"1-9","TX",2020-09-10,2,0
"10-19","TX",2020-09-10,11,0
"20-29","TX",2020-09-10,120,0
"30-39","TX",2020-09-10,316,1
"40-49","TX",2020-09-10,846,4
"50-59","TX",2020-09-10,1799,9
"60-64","TX",2020-09-10,1466,7
"65-69","TX",2020-09-10,1792,9
"70-74","TX",2020-09-10,2023,10
"75-79","TX",2020-09-10,1920,9
"80+","TX",2020-09-10,5270,24
"0-0","TX",2020-09-11,3,0
"1-9","TX",2020-09-11,2,0
"10-19","TX",2020-09-11,11,0
"20-29","TX",2020-09-11,120,0
"30-39","TX",2020-09-11,317,1
"40-49","TX",2020-09-11,850,4
"50-59","TX",2020-09-11,1809,10
"60-64","TX",2020-09-11,1474,8
"65-69","TX",2020-09-11,1802,10
"70-74","TX",2020-09-11,2033,10
"75-79","TX",2020-09-11,1929,9
"80+","TX",2020-09-11,5295,25
"0-0","TX",2020-09-12,3,0
"1-9","TX",2020-09-12,2,0
"10-19","TX",2020-09-12,11,0
"20-29","TX",2020-09-12,120,0
"30-39","TX",2020-09-12,318,1
"40-49","TX",2020-09-12,854,4
"50-59","TX",2020-09-12,1818,9
"60-64","TX",2020-09-12,1481,7
"65-69","TX",2020-09-12,1810,8
"70-74","TX",2020-09-12,2042,9
"75-79","TX",2020-09-12,1937,8
"80+","TX",2020-09-12,5317,22
"0-0","TX",2020-09-13,3,0
"1-9","TX",2020-09-13,2,0
"10-19","TX",2020-09-13,11,0
"20-29","TX",2020-09-13,120,0
"30-39","TX",2020-09-13,319,1
"40-49","TX",2020-09-13,858,4
"50-59","TX",2020-09-13,1827,9
"60-64","TX",2020-09-13,1488,7
"65-69","TX",2020-09-13,1818,8
"70-74","TX",2020-09-13,2051,9
"75-79","TX",2020-09-13,1945,8
"80+","TX",2020-09-13,5339,22
"0-0","TX",2020-09-14,3,0
