"age","code","date","daily.deaths","cum.deaths"
"50-59","ID",2020-08-02,0,5
"50-59","ID",2020-08-03,0,5
"50-59","ID",2020-08-04,0,5
"50-59","ID",2020-08-05,0,5
"50-59","ID",2020-08-06,0,5
"50-59","ID",2020-08-07,0,5
"50-59","ID",2020-08-08,0,5
"50-59","ID",2020-08-09,0,5
"50-59","ID",2020-08-10,0,5
"50-59","ID",2020-08-11,1,5
"50-59","ID",2020-08-12,1,5
"40-49","ID",2020-07-29,0,3
"40-49","ID",2020-07-30,0,3
"40-49","ID",2020-07-31,0,3
"40-49","ID",2020-08-01,0,3
"40-49","ID",2020-08-02,0,3
"40-49","ID",2020-08-03,0,3
"40-49","ID",2020-08-04,0,3
"40-49","ID",2020-08-05,0,3
"40-49","ID",2020-08-06,0,3
"40-49","ID",2020-08-07,0,3
"40-49","ID",2020-08-08,0,3
"40-49","ID",2020-08-09,0,3
"40-49","ID",2020-08-10,1,3
"40-49","ID",2020-08-11,1,3
"40-49","ID",2020-08-12,1,3
"30-39","ID",2020-07-29,0,1
"30-39","ID",2020-07-30,0,1
"30-39","ID",2020-07-31,0,1
"30-39","ID",2020-08-01,0,1
"30-39","ID",2020-08-02,0,1
"30-39","ID",2020-08-03,0,1
"30-39","ID",2020-08-04,0,1
"30-39","ID",2020-08-05,0,1
"30-39","ID",2020-08-06,0,1
"30-39","ID",2020-08-07,0,1
"30-39","ID",2020-08-08,0,1
"30-39","ID",2020-08-09,0,1
"30-39","ID",2020-08-10,0,1
"30-39","ID",2020-08-11,0,1
"30-39","ID",2020-08-12,0,1
"18-29","ID",2020-07-29,0,0
"18-29","ID",2020-07-30,0,0
"18-29","ID",2020-07-31,0,0
"18-29","ID",2020-08-01,0,0
"18-29","ID",2020-08-02,0,0
"18-29","ID",2020-08-03,0,0
"18-29","ID",2020-08-04,0,0
"18-29","ID",2020-08-05,0,0
"18-29","ID",2020-08-06,0,0
"18-29","ID",2020-08-07,0,0
"18-29","ID",2020-08-08,0,0
"18-29","ID",2020-08-09,0,0
"18-29","ID",2020-08-10,0,0
"18-29","ID",2020-08-11,0,0
"18-29","ID",2020-08-12,0,0
"0-17","ID",2020-07-29,0,0
"0-17","ID",2020-07-30,0,0
"0-17","ID",2020-07-31,0,0
"0-17","ID",2020-08-01,0,0
"0-17","ID",2020-08-02,0,0
"0-17","ID",2020-08-03,0,0
"0-17","ID",2020-08-04,0,0
"0-17","ID",2020-08-05,0,0
"0-17","ID",2020-08-06,0,0
"0-17","ID",2020-08-07,0,0
"0-17","ID",2020-08-08,0,0
"0-17","ID",2020-08-09,0,0
"0-17","ID",2020-08-10,0,0
"0-17","ID",2020-08-11,0,0
