"date","code","age","cum.deaths","daily.deaths"
2020-06-27,"TN","20-29",5,1
2020-06-27,"TN","30-39",11,0
2020-06-27,"TN","40-49",26,0
2020-06-27,"TN","50-59",48,0
2020-06-27,"TN","60-69",112,1
2020-06-27,"TN","70-79",178,3
2020-06-27,"TN","80+",194,3
2020-06-28,"TN","0-9",3,0
2020-06-28,"TN","10-19",1,0
2020-06-28,"TN","20-29",5,0
2020-06-28,"TN","30-39",11,0
2020-06-28,"TN","40-49",26,0
2020-06-28,"TN","50-59",48,0
2020-06-28,"TN","60-69",112,0
2020-06-28,"TN","70-79",180,2
2020-06-28,"TN","80+",196,2
2020-06-29,"TN","0-9",3,0
2020-06-29,"TN","10-19",1,0
2020-06-29,"TN","20-29",5,0
2020-06-29,"TN","30-39",11,0
2020-06-29,"TN","40-49",26,0
