"age","cum.deaths","daily.deaths","code","date"
"18-44",692,0,"NYC",2020-06-21
"45-64",3930,5,"NYC",2020-06-21
"65-74",4391,9,"NYC",2020-06-21
"75+",8570,18,"NYC",2020-06-21
"0-17",11,0,"NYC",2020-06-22
"18-44",692,0,"NYC",2020-06-22
"45-64",3945,15,"NYC",2020-06-22
"65-74",4404,13,"NYC",2020-06-22
"75+",8581,11,"NYC",2020-06-22
"0-17",11,0,"NYC",2020-06-23
"18-44",692,0,"NYC",2020-06-23
"45-64",3950,5,"NYC",2020-06-23
"65-74",4408,4,"NYC",2020-06-23
"75+",8591,10,"NYC",2020-06-23
"0-17",12,1,"NYC",2020-06-24
"18-44",692,0,"NYC",2020-06-24
"45-64",3958,8,"NYC",2020-06-24
"65-74",4411,3,"NYC",2020-06-24
"75+",8611,20,"NYC",2020-06-24
"0-17",12,0,"NYC",2020-06-25
"18-44",694,2,"NYC",2020-06-25
"45-64",3968,10,"NYC",2020-06-25
"65-74",4416,5,"NYC",2020-06-25
"75+",8624,13,"NYC",2020-06-25
"0-17",12,0,"NYC",2020-06-26
"18-44",696,2,"NYC",2020-06-26
"45-64",3973,5,"NYC",2020-06-26
"65-74",4427,11,"NYC",2020-06-26
"75+",8644,20,"NYC",2020-06-26
"0-17",12,0,"NYC",2020-06-27
"18-44",699,3,"NYC",2020-06-27
"45-64",3980,7,"NYC",2020-06-27
"65-74",4432,5,"NYC",2020-06-27
"75+",8655,11,"NYC",2020-06-27
"0-17",12,0,"NYC",2020-06-28
"18-44",701,2,"NYC",2020-06-28
"45-64",3983,3,"NYC",2020-06-28
"65-74",4434,2,"NYC",2020-06-28
"75+",8669,14,"NYC",2020-06-28
"0-17",12,0,"NYC",2020-06-29
"18-44",702,1,"NYC",2020-06-29
"45-64",3986,3,"NYC",2020-06-29
"65-74",4438,4,"NYC",2020-06-29
"75+",8677,8,"NYC",2020-06-29
"0-17",12,0,"NYC",2020-06-30
"18-44",711,9,"NYC",2020-06-30
"45-64",4132,146,"NYC",2020-06-30
"65-74",4600,162,"NYC",2020-06-30
"75+",9023,346,"NYC",2020-06-30
"0-17",12,0,"NYC",2020-07-01
"18-44",711,0,"NYC",2020-07-01
"45-64",4132,0,"NYC",2020-07-01
"65-74",4603,3,"NYC",2020-07-01
"75+",9027,4,"NYC",2020-07-01
"0-17",12,0,"NYC",2020-07-02
"18-44",711,0,"NYC",2020-07-02
"45-64",4140,8,"NYC",2020-07-02
"65-74",4606,3,"NYC",2020-07-02
"75+",9037,10,"NYC",2020-07-02
"0-17",12,0,"NYC",2020-07-03
"18-44",711,0,"NYC",2020-07-03
"45-64",4146,6,"NYC",2020-07-03
"65-74",4608,2,"NYC",2020-07-03
"75+",9047,10,"NYC",2020-07-03
"0-17",12,0,"NYC",2020-07-04
"18-44",711,0,"NYC",2020-07-04
"45-64",4147,1,"NYC",2020-07-04
"65-74",4608,0,"NYC",2020-07-04
"75+",9064,17,"NYC",2020-07-04
"0-17",12,0,"NYC",2020-07-05
"18-44",711,0,"NYC",2020-07-05
"45-64",4152,5,"NYC",2020-07-05
"65-74",4618,10,"NYC",2020-07-05
"75+",9075,11,"NYC",2020-07-05
"0-17",12,0,"NYC",2020-07-06
"18-44",711,0,"NYC",2020-07-06
"45-64",4155,3,"NYC",2020-07-06
"65-74",4621,3,"NYC",2020-07-06
"75+",9081,6,"NYC",2020-07-06
"0-17",12,0,"NYC",2020-07-07
"18-44",711,0,"NYC",2020-07-07
"45-64",4156,1,"NYC",2020-07-07
"65-74",4626,5,"NYC",2020-07-07
"75+",9092,11,"NYC",2020-07-07
"0-17",12,0,"NYC",2020-07-08
