"age","cum.deaths","daily.deaths","code","date"
"30-39",19,1,"IN",2020-07-19
"40-49",46,0,"IN",2020-07-19
"50-59",133,0,"IN",2020-07-19
"60-69",419,3,"IN",2020-07-19
"70-79",647,4,"IN",2020-07-19
"80+",1355,11,"IN",2020-07-19
"0-19",2,0,"IN",2020-07-20
"20-29",8,0,"IN",2020-07-20
"30-39",19,0,"IN",2020-07-20
"40-49",46,0,"IN",2020-07-20
"50-59",134,1,"IN",2020-07-20
"60-69",419,0,"IN",2020-07-20
"70-79",647,0,"IN",2020-07-20
"80+",1357,2,"IN",2020-07-20
"0-19",2,0,"IN",2020-07-21
"20-29",8,0,"IN",2020-07-21
"30-39",19,0,"IN",2020-07-21
"40-49",46,0,"IN",2020-07-21
"50-59",136,2,"IN",2020-07-21
"60-69",422,3,"IN",2020-07-21
"70-79",650,3,"IN",2020-07-21
"80+",1369,12,"IN",2020-07-21
"0-19",2,0,"IN",2020-07-22
"20-29",8,0,"IN",2020-07-22
"30-39",19,0,"IN",2020-07-22
"40-49",46,0,"IN",2020-07-22
"50-59",137,1,"IN",2020-07-22
"60-69",426,4,"IN",2020-07-22
"70-79",654,4,"IN",2020-07-22
"80+",1374,5,"IN",2020-07-22
"0-19",2,0,"IN",2020-07-23
"20-29",8,0,"IN",2020-07-23
"30-39",19,0,"IN",2020-07-23
"40-49",46,0,"IN",2020-07-23
"50-59",138,1,"IN",2020-07-23
"60-69",427,1,"IN",2020-07-23
"70-79",655,1,"IN",2020-07-23
"80+",1387,13,"IN",2020-07-23
"0-19",2,0,"IN",2020-07-24
"20-29",8,0,"IN",2020-07-24
"30-39",19,0,"IN",2020-07-24
"40-49",46,0,"IN",2020-07-24
"50-59",138,0,"IN",2020-07-24
"60-69",428,1,"IN",2020-07-24
"70-79",655,0,"IN",2020-07-24
"80+",1390,3,"IN",2020-07-24
"0-19",2,0,"IN",2020-07-25
"20-29",8,0,"IN",2020-07-25
"30-39",19,0,"IN",2020-07-25
"40-49",46,0,"IN",2020-07-25
"50-59",138,0,"IN",2020-07-25
"60-69",432,4,"IN",2020-07-25
"70-79",660,5,"IN",2020-07-25
"80+",1392,2,"IN",2020-07-25
"0-19",2,0,"IN",2020-07-26
"20-29",8,0,"IN",2020-07-26
"30-39",19,0,"IN",2020-07-26
"40-49",46,0,"IN",2020-07-26
"50-59",139,1,"IN",2020-07-26
"60-69",432,0,"IN",2020-07-26
"70-79",664,4,"IN",2020-07-26
"80+",1395,3,"IN",2020-07-26
"0-19",2,0,"IN",2020-07-27
"20-29",8,0,"IN",2020-07-27
"30-39",19,0,"IN",2020-07-27
"40-49",46,0,"IN",2020-07-27
"50-59",139,0,"IN",2020-07-27
"60-69",433,1,"IN",2020-07-27
"70-79",664,0,"IN",2020-07-27
"80+",1397,2,"IN",2020-07-27
"0-19",2,0,"IN",2020-07-28
"20-29",8,0,"IN",2020-07-28
"30-39",19,0,"IN",2020-07-28
"40-49",46,0,"IN",2020-07-28
"50-59",139,0,"IN",2020-07-28
"60-69",435,2,"IN",2020-07-28
"70-79",669,5,"IN",2020-07-28
"80+",1406,9,"IN",2020-07-28
"0-19",2,0,"IN",2020-07-29
"20-29",8,0,"IN",2020-07-29
"30-39",20,1,"IN",2020-07-29
"40-49",46,0,"IN",2020-07-29
"50-59",139,0,"IN",2020-07-29
"60-69",438,3,"IN",2020-07-29
"70-79",670,1,"IN",2020-07-29
"80+",1406,0,"IN",2020-07-29
"0-19",2,0,"IN",2020-07-30
"20-29",8,0,"IN",2020-07-30
"30-39",20,0,"IN",2020-07-30
"40-49",46,0,"IN",2020-07-30
"50-59",139,0,"IN",2020-07-30
"60-69",441,3,"IN",2020-07-30
"70-79",676,6,"IN",2020-07-30
"80+",1410,4,"IN",2020-07-30
"0-19",2,0,"IN",2020-07-31
"20-29",9,1,"IN",2020-07-31
"30-39",20,0,"IN",2020-07-31
