Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
01/06/2021,01/04/2020,01/02/2021,Nevada,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,All Sexes,All Ages,675,13184,770,161,35,1317,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,All Ages,352,6806,418,101,14,681,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,Under 1 year,0,24,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,0-17 years,0,53,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,5-14 years,0,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,15-24 years,,70,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,18-29 years,,125,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,25-34 years,,159,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,30-49 years,,477,12,,,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,35-44 years,,217,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,45-54 years,12,401,14,,,23,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,50-64 years,29,1145,53,,,76,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,55-64 years,21,915,43,,0,59,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,65-74 years,59,1486,91,22,,131,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,75-84 years,115,1680,135,37,,218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Male,85 years and over,142,1840,125,32,,237,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,All Ages,323,6378,352,60,21,636,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,Under 1 year,0,21,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,0-17 years,0,31,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,15-24 years,0,27,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,18-29 years,0,62,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,25-34 years,0,77,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,30-49 years,0,227,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,35-44 years,0,95,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,45-54 years,,223,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,50-64 years,,689,22,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,55-64 years,,556,19,,,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,65-74 years,40,1022,73,14,,107,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,75-84 years,76,1552,100,16,,162,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Female,85 years and over,199,2795,154,29,,331,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Hampshire,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,All Sexes,All Ages,16773,92763,12531,8165,155,21279,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,All Ages,9070,47017,6918,4586,92,11487,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,Under 1 year,0,165,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,0-17 years,0,284,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,1-4 years,0,37,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,5-14 years,0,34,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,15-24 years,14,397,10,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,18-29 years,41,875,26,13,0,54,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,25-34 years,82,1180,52,39,,98,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,30-49 years,537,3601,349,259,14,640,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,35-44 years,227,1661,148,108,,269,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,45-54 years,652,3260,425,314,13,776,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,50-64 years,1855,9000,1311,948,16,2233,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,55-64 years,1458,7026,1051,757,11,1762,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,65-74 years,2101,9788,1591,1091,17,2616,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,75-84 years,2367,11407,1876,1234,21,3027,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Male,85 years and over,2169,12062,1763,1041,24,2915,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,All Ages,7702,45743,5612,3578,63,9791,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,Under 1 year,0,147,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,0-17 years,,223,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,1-4 years,,22,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,5-14 years,,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,15-24 years,,153,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,18-29 years,21,323,19,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,25-34 years,41,436,33,17,,60,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,30-49 years,170,1655,137,78,,233,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,35-44 years,73,756,56,34,,96,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,45-54 years,225,1657,183,109,,300,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,50-64 years,838,5166,612,407,,1050,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,55-64 years,686,4166,489,333,,848,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,65-74 years,1212,6997,909,600,,1526,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,75-84 years,2017,10976,1552,1011,12,2569,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Female,85 years and over,3442,20403,2380,1473,30,4376,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,All Ages,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,65-74 years,,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Jersey,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,All Sexes,All Ages,2005,20593,1927,937,60,3054,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,All Ages,1078,11064,1073,519,31,1663,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,Under 1 year,0,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,0-17 years,,104,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,1-4 years,0,12,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,5-14 years,,24,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,15-24 years,,184,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,18-29 years,11,374,12,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,25-34 years,32,493,28,15,0,45,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,30-49 years,101,1264,97,61,,140,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,35-44 years,49,616,45,30,,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,45-54 years,80,840,84,47,,124,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,50-64 years,209,2125,205,107,10,317,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,55-64 years,159,1661,155,79,,239,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,65-74 years,265,2342,259,136,,396,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,75-84 years,265,2571,274,125,,421,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Male,85 years and over,226,2284,224,85,,367,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,All Ages,927,9529,854,418,29,1391,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,Under 1 year,0,31,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,0-17 years,0,61,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,5-14 years,0,10,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,15-24 years,,72,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,18-29 years,,141,,,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,25-34 years,12,227,13,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,30-49 years,55,675,58,34,,83,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,35-44 years,28,319,28,18,,41,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,45-54 years,56,521,52,34,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,50-64 years,150,1324,147,81,,225,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,55-64 years,112,1014,116,58,,177,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,65-74 years,182,1761,191,99,,278,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,75-84 years,245,2334,231,106,,374,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Female,85 years and over,289,3233,219,96,,416,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,All Ages,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,Under 1 year,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,0-17 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New Mexico,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,All Sexes,All Ages,14616,116166,14288,6718,276,22441,
01/06/2021,01/04/2020,01/02/2021,New York,Male,All Ages,7674,58399,7727,3717,140,11812,
01/06/2021,01/04/2020,01/02/2021,New York,Male,Under 1 year,,252,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,0-17 years,,435,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,1-4 years,,40,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,5-14 years,,72,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,15-24 years,14,592,17,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,18-29 years,35,1129,40,13,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,25-34 years,55,1393,58,26,,89,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,30-49 years,335,3888,264,159,,447,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,35-44 years,143,1860,107,60,,192,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,45-54 years,422,3372,342,212,,559,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Male,50-64 years,1326,10188,1167,659,26,1858,
01/06/2021,01/04/2020,01/02/2021,New York,Male,55-64 years,1062,8059,947,527,23,1503,
01/06/2021,01/04/2020,01/02/2021,New York,Male,65-74 years,1800,12236,1724,900,31,2651,
01/06/2021,01/04/2020,01/02/2021,New York,Male,75-84 years,2093,14454,2112,1018,35,3220,
01/06/2021,01/04/2020,01/02/2021,New York,Male,85 years and over,2081,16069,2413,966,36,3560,
01/06/2021,01/04/2020,01/02/2021,New York,Female,All Ages,6942,57763,6561,3001,136,10629,
01/06/2021,01/04/2020,01/02/2021,New York,Female,Under 1 year,0,202,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,0-17 years,,317,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,1-4 years,0,33,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,5-14 years,,56,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,15-24 years,,226,,0,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,18-29 years,14,441,18,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,25-34 years,24,573,26,11,0,39,
01/06/2021,01/04/2020,01/02/2021,New York,Female,30-49 years,136,1996,134,65,,209,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,35-44 years,64,917,55,30,,92,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,45-54 years,158,1887,159,70,,251,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Female,50-64 years,623,6268,662,306,20,997,
01/06/2021,01/04/2020,01/02/2021,New York,Female,55-64 years,525,5128,565,265,16,840,
01/06/2021,01/04/2020,01/02/2021,New York,Female,65-74 years,1069,9004,1062,516,23,1638,
01/06/2021,01/04/2020,01/02/2021,New York,Female,75-84 years,1722,13517,1666,789,27,2626,
01/06/2021,01/04/2020,01/02/2021,New York,Female,85 years and over,3376,26220,3016,1320,56,5121,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,All Ages,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,Under 1 year,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,0-17 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,1-4 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,5-14 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,15-24 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,18-29 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,25-34 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,30-49 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,35-44 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,45-54 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,50-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,55-64 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,65-74 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,75-84 years,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York,Unknown,85 years and over,0,0,0,0,0,0,
01/06/2021,01/04/2020,01/02/2021,New York City,All Sexes,All Ages,21871,81093,12775,8308,1017,26522,
01/06/2021,01/04/2020,01/02/2021,New York City,Male,All Ages,12944,43082,7323,4892,613,15459,
01/06/2021,01/04/2020,01/02/2021,New York City,Male,Under 1 year,,205,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York City,Male,0-17 years,,332,10,,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York City,Male,1-4 years,,31,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York City,Male,5-14 years,,60,,0,,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
01/06/2021,01/04/2020,01/02/2021,New York City,Male,15-24 years,24,421,16,,,32,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
